avg(reportedcompl),avg(similarCPcompl),avg(distantCPcompl),reportedcnty,halfyear
91.4447467803955,87.24028415679932,85.99001703262329,0.0,1
90.00086633142722,85.00189725716275,84.46163481450176,0.0,2
89.60160839348508,84.19078785076476,84.41015456015603,0.0,3
89.43684901297092,83.6153243035078,83.84096723794937,0.0,4
88.36805574821703,81.92046098998098,83.58190387668031,0.0,5
88.73283397660273,82.30627105655742,83.82620796460783,0.0,6
88.11781614895524,81.31320645562533,81.2218706591376,0.0,7
89.76139608203856,84.03230463337694,82.15221744113498,0.0,8
87.28563800578715,81.79436616805589,80.70339033611334,0.0,9
89.69216423604026,84.42180498322445,83.46633672002537,0.0,10
88.20465704974006,84.75521727169262,83.58215001050164,0.0,11
94.75308668348524,90.38292456732856,91.01614566379124,0.0,12
94.66666732788086,89.06779586791993,89.16666809082031,0.0,13
87.8365064400893,86.31823660777165,85.68647270936232,1.0,1
88.1461350440979,87.48225467999777,86.42995169957479,1.0,2
89.05514767469266,88.42903944733855,87.32787076941817,1.0,3
90.40868564418979,89.22895630256279,88.3478855053028,1.0,4
90.0820343161529,88.77319167515017,87.7751089132057,1.0,5
90.65433859675186,90.27512136495338,88.93567170437026,1.0,6
91.24436932641106,90.4371563937213,88.91457789653056,1.0,7
92.84584963711825,91.93832333651456,89.96521514892578,1.0,8
92.20054284085654,92.08368267692862,90.81745810896264,1.0,9
93.15791159710926,92.8771699250968,90.97474482471992,1.0,10
93.48083694964224,93.53005034098693,92.18478060898623,1.0,11
94.3822558578567,95.15247075474677,94.04730718052802,1.0,12
94.09364283453557,94.93504014949208,93.06529184715035,1.0,13
93.85416736602784,96.46097450256347,95.05303573608398,1.0,14
