Country,December-2014-Revised,December-2015,June-2015,September-2014
Argentina,27.0,24.0,26.0,30.0
Bangladesh,10.0,15.0,10.0,10.0
Brazil,1.0,1.0,1.0,
Bulgaria,5.0,4.0,4.0,5.0
Cambodia,13.0,11.0,13.0,13.0
China,191.0,170.0,194.0,194.0
Colombia,3.0,3.0,3.0,4.0
"Dominican
Republic",8.0,,,9.0
Dominican Republic,,8.0,8.0,
Egypt,8.0,11.0,10.0,8.0
El Salvador,4.0,0.0,3.0,4.0
Guatemala,0.0,0.0,0.0,0.0
Haiti (limited),0.0,0.0,0.0,0.0
Honduras,1.0,,,1.0
India,44.0,37.0,39.0,47.0
Indonesia,3.0,2.0,4.0,3.0
Italy,22.0,20.0,21.0,22.0
Japan,9.0,7.0,9.0,11.0
Kenya,0.0,0.0,0.0,0.0
"Korea, Republic
of",6.0,,,
"Korea, Republic of",,9.0,9.0,7.0
Lesotho,1.0,1.0,1.0,
"Lesotho
Madagascar",,,,7.0
Levi Strauss & Co. Factory List,,1.0,1.0,
Madagascar,6.0,6.0,6.0,
Malaysia,1.0,1.0,1.0,1.0
Mauritius,2.0,2.0,2.0,2.0
Mexico,25.0,27.0,27.0,25.0
Morocco,1.0,,1.0,1.0
Nicaragua,2.0,1.0,1.0,4.0
Pakistan,11.0,16.0,13.0,10.0
Peru,0.0,,0.0,0.0
Philippines,,0.0,,
Poland,2.0,2.0,2.0,2.0
Portugal,10.0,12.0,11.0,11.0
Romania,3.0,2.0,3.0,3.0
South Africa,2.0,1.0,0.0,2.0
Spain,,0.0,,
Sri Lanka,27.0,23.0,27.0,28.0
Taiwan,1.0,0.0,1.0,1.0
Thailand,13.0,15.0,13.0,16.0
Tunisia,3.0,2.0,2.0,3.0
Turkey,22.0,18.0,19.0,23.0
United States,8.0,11.0,12.0,8.0
Uruguay,,0.0,,1.0
Viet Nam,30.0,32.0,34.0,29.0
